timestamp,apartment,floorplan,sqft,move_in,price
2025-04-20T15:33:12.796290,The Capstone,C4,"1,605",May 24,"$7,180"
2025-04-20T15:33:12.807308,The Capstone,A3,726,May 31,"$3,731"
2025-04-20T15:33:12.817745,The Capstone,S3,618,Immediately,"$2,710"
2025-04-20T15:33:12.827207,The Capstone,S5,545,May 5,"$2,771"
2025-04-20T15:33:12.837339,The Capstone,S4,594,May 13,"$2,779"
2025-04-20T15:33:12.849905,The Capstone,B6,"1,226",Jun 26,"$4,522"
2025-04-20T15:33:12.859652,The Capstone,A7,884,Jul 16,"$3,831"
2025-04-20T15:33:12.869116,The Capstone,A1,767,Immediately,"$3,976"
2025-04-20T15:33:12.878966,The Capstone,S2,546,Immediately,"$2,904"
2025-04-20T15:33:12.888570,The Capstone,C1,"1,504",Immediately,"$6,758"
2025-04-20T15:33:12.898335,The Capstone,A2,709,Immediately,"$3,962"
2025-04-20T15:33:12.907563,The Capstone,B3,"1,117",Immediately,"$4,900"
2025-04-20T15:33:12.917551,The Capstone,B2,"1,080",Immediately,"$4,661"
2025-04-20T15:33:15.895276,RiverHouse 9,B8,"1,184",May 19,"$5,315"
2025-04-20T15:33:15.907364,RiverHouse 9,B1,"1,020",Immediately,"$4,878"
2025-04-20T15:33:15.919487,RiverHouse 9,B9,"1,261",Immediately,"$5,970"
2025-04-20T15:33:15.930262,RiverHouse 9,B3,"1,109",May 12,"$5,335"
2025-04-20T15:33:15.938596,RiverHouse 9,S3,474,Immediately,"$3,159"
2025-04-20T15:33:15.947500,RiverHouse 9,B7,"1,031",Immediately,"$4,888"
2025-04-20T15:33:15.959510,RiverHouse 9,A3,648,Immediately,"$3,894"
2025-04-20T15:33:15.970800,RiverHouse 9,B2,"1,063",Jun 11,"$5,294"
2025-04-20T15:33:15.979910,RiverHouse 9,A2,671,May 4,"$3,888"
2025-04-20T15:33:15.988754,RiverHouse 9,A5,733,Immediately,"$4,183"
2025-04-20T15:33:15.997538,RiverHouse 9,S4,490,May 28,"$3,034"
2025-04-20T15:33:18.936855,RiverHouse 11,C1,"1,337",Immediately,"$6,597"
2025-04-20T15:33:18.948476,RiverHouse 11,A2,699,Immediately,"$3,339"
2025-04-20T15:33:18.958398,RiverHouse 11,A3,756,Jun 7,"$3,584"
2025-04-20T15:33:18.967525,RiverHouse 11,B3,"1,172",Immediately,"$4,463"
2025-04-20T15:33:18.975883,RiverHouse 11,S1,466,Immediately,"$3,056"
2025-04-20T15:33:18.985609,RiverHouse 11,B4,"1,242",May 21,"$4,778"
2025-04-20T15:33:18.994530,RiverHouse 11,S2,521,Immediately,"$3,140"
