timestamp,apartment,floorplan,sqft,move_in,price
2025-05-13T02:18:52.038458,The Capstone,C4,"1,605",May 23,"$7,226"
2025-05-13T02:18:52.066735,The Capstone,A3,726,Jul 21,"$3,700"
2025-05-13T02:18:52.092452,The Capstone,A4,779,Aug 5,"$3,896"
2025-05-13T02:18:52.117402,The Capstone,S5,545,Immediately,"$3,295"
2025-05-13T02:18:52.143458,The Capstone,S4,594,Immediately,"$3,303"
2025-05-13T02:18:52.170052,The Capstone,B6,"1,226",Jun 26,"$5,112"
2025-05-13T02:18:52.196145,The Capstone,A7,884,Jul 16,"$3,785"
2025-05-13T02:18:52.220930,The Capstone,A1,767,May 20,"$3,915"
2025-05-13T02:18:52.255573,The Capstone,A2,709,Immediately,"$3,836"
2025-05-13T02:18:52.281097,The Capstone,B3,"1,117",Immediately,"$5,485"
2025-05-13T02:18:52.307299,The Capstone,B2,"1,080",Immediately,"$5,101"
2025-05-13T02:18:56.462287,RiverHouse 9,B8,"1,184",Jun 1,"$5,715"
2025-05-13T02:18:56.491349,RiverHouse 9,B1,"1,020",Immediately,"$5,261"
2025-05-13T02:18:56.519385,RiverHouse 9,B9,"1,261",Immediately,"$6,105"
2025-05-13T02:18:56.547629,RiverHouse 9,B3,"1,109",Jun 7,"$5,735"
2025-05-13T02:18:56.574711,RiverHouse 9,A5,733,Immediately,"$4,167"
2025-05-13T02:18:56.603164,RiverHouse 9,B7,"1,031",Immediately,"$5,271"
2025-05-13T02:18:56.638909,RiverHouse 9,B2,"1,063",Jun 11,"$5,697"
2025-05-13T02:18:56.665598,RiverHouse 9,A2,671,Immediately,"$3,852"
2025-05-13T02:18:56.704754,RiverHouse 9,S3,474,Jul 25,"$3,303"
2025-05-13T02:18:56.731104,RiverHouse 9,S4,490,May 28,"$3,233"
2025-05-13T02:19:00.828995,RiverHouse 11,C1,"1,337",Jul 18,"$6,351"
2025-05-13T02:19:00.855227,RiverHouse 11,A3,756,Jun 18,"$3,990"
2025-05-13T02:19:00.887505,RiverHouse 11,B3,"1,172",Immediately,"$5,070"
2025-05-13T02:19:00.911759,RiverHouse 11,A2,699,Jun 27,"$3,880"
2025-05-13T02:19:00.937442,RiverHouse 11,S2,521,Immediately,"$3,238"
